,Track Name,Length,URL
0,Blunda , 00:03:32 ,http://open.spotify.com/track/49I7QPn7L2aZHnXp3gK3jn
1,Big Sky , 00:04:03 ,http://open.spotify.com/track/1e6PKJmQ5fV0VHwD31GPQK
2,Endless Nights , 00:02:58 ,http://open.spotify.com/track/1khJhtT78fpUbjiZCH1rLV
3,Te Urewera , 00:03:04 ,http://open.spotify.com/track/5phPjqe0T4phCAXczNnYgS
4,Halvmåne , 00:02:37 ,http://open.spotify.com/track/5YXN6JEpHIGcskwqrDzi9g
5,Phaedra , 00:03:16 ,http://open.spotify.com/track/6GEYh8JguL5MIh5Uz5h0zL
6,Eyes of Redemption , 00:03:03 ,http://open.spotify.com/track/4sgncJrSzijkzs0oEEyOcn
7,Sogno Illuminum , 00:02:20 ,http://open.spotify.com/track/2XwakW5X0FkLa7xGfgDwot
8,Ethereal , 00:03:17 ,http://open.spotify.com/track/19Veznfh8J7ZPLs9kgK1Kq
9,Vilán , 00:02:51 ,http://open.spotify.com/track/6Qsxgw4T1okHKm2oPkLOxC
10,Mind , 00:02:31 ,http://open.spotify.com/track/7DvR34weBiIehUpND2sN6O
11,Huitussi , 00:02:57 ,http://open.spotify.com/track/5gDjNqBVupjXg9FpgVQ68c
12,Voyage De La Nuit , 00:03:21 ,http://open.spotify.com/track/24lJCQciPgJBhRrij2Faa5
13,Salaio , 00:02:36 ,http://open.spotify.com/track/3JtiHgyAOj8mvHUi5zR3Sq
14,Blua Aero , 00:02:08 ,http://open.spotify.com/track/3ff3N25wTsj8T1mf2gMTQp
15,El Limbo , 00:03:12 ,http://open.spotify.com/track/7qxiypBdH5wy621o3DATXE
16,East Coast Stories , 00:02:44 ,http://open.spotify.com/track/6G0756SmteKsCuObcKWqWP
17,Arrival , 00:03:05 ,http://open.spotify.com/track/3jaCuiu5pvF2e7XnSi1NBw
18,Sylarna , 00:04:04 ,http://open.spotify.com/track/3qbZGh0o76ZCq2dI32cF9o
19,In Bloom , 00:02:55 ,http://open.spotify.com/track/1ve6TCi0O78ypM3pyeXyYy
20,Quand je te vois , 00:03:18 ,http://open.spotify.com/track/0ydR92kMvsKzbHskETB2QR
21,Breath Of Life , 00:02:34 ,http://open.spotify.com/track/0whxteXpbXv6WUTOfAtmZb
22,No One Knows , 00:03:14 ,http://open.spotify.com/track/55cj9j5lNgAsKIYjX2mJLm
23,Catharsis , 00:02:46 ,http://open.spotify.com/track/0lDLcIR8XdXwXD4rzEUVMb
24,Hibernation , 00:03:36 ,http://open.spotify.com/track/1mYTROYR85RaiaVEtQztis
25,Moments , 00:03:24 ,http://open.spotify.com/track/0UtZUu5j2Ye9QDxWyhReTx
26,Shimmer in the Morning , 00:02:06 ,http://open.spotify.com/track/0oZcBTfv9wd9Oh2JBicCmz
27,Malam Damai , 00:03:45 ,http://open.spotify.com/track/6D70aCXcWTHKQwKF0UwEXK
